Fs,50.00
Initialization time,60
mx,my,mz
6392,662,4850
6362,657,4865
6372,635,4860
6397,652,4845
6402,662,4822
6382,657,4812
6412,652,4822
6392,635,4850
6372,672,4827
6377,620,4832
6412,657,4845
6367,662,4822
6362,640,4817
6362,662,4807
6417,692,4822
6417,687,4850
6435,647,4850
6387,635,4855
6392,657,4827
6337,682,4845
6397,652,4875
6430,640,4837
6397,630,4827
6445,692,4832
6425,682,4850
6367,620,4865
6352,652,4822
6372,667,4865
6372,630,4845
6402,652,4817
6392,640,4827
6357,652,4837
6412,662,4827
6382,662,4827
6407,687,4812
6382,635,4832
6430,620,4817
6440,630,4855
6430,640,4837
6392,625,4845
6407,677,4860
6367,635,4832
6372,667,4855
6387,687,4850
6367,672,4827
6382,662,4822
6417,652,4855
6397,702,4812
6362,682,4832
6392,652,4812
6407,657,4827
6362,640,4860
6372,635,4837
6397,625,4827
6382,677,4850
6407,682,4855
6352,657,4812
6417,647,4855
6440,667,4812
6412,635,4795
6362,620,4785
6392,635,4790
6397,682,4812
6397,662,4817
6382,635,4850
6357,620,4880
6430,677,4850
6372,620,4845
6382,697,4850
6387,640,4897
6392,667,4837
6387,677,4817
6397,647,4855
6387,682,4812
6377,652,4865
6377,652,4827
6377,687,4827
6397,610,4865
6402,647,4807
6372,662,4832
6362,647,4855
6397,652,4845
6362,657,4822
6407,640,4812
6402,667,4850
6402,687,4850
6372,682,4837
6397,677,4850
6357,692,4837
6392,687,4860
6372,640,4812
6372,677,4855
6455,652,4837
6417,657,4845
6397,697,4817
6387,662,4822
6372,662,4870
6372,687,4832
6382,635,4817
6407,657,4850
6387,630,4865
6407,610,4827
6362,657,4817
6377,667,4827
6387,682,4850
6367,652,4812
6397,662,4827
6362,625,4855
6392,605,4887
6357,662,4837
6377,672,4855
6372,692,4817
6402,677,4845
6382,662,4850
6352,652,4812
6402,630,4845
6397,697,4827
6387,630,4892
6392,657,4812
6402,662,4850
6352,652,4837
6347,677,4827
6430,662,4870
6407,625,4850
6402,640,4855
6382,692,4827
6382,647,4817
6387,652,4832
6377,672,4832
6412,647,4802
6357,640,4807
6402,652,4832
6372,657,4812
6407,652,4827
6402,677,4802
6402,662,4855
6377,662,4850
6387,667,4822
6362,667,4822
6382,682,4865
6372,657,4865
6387,630,4855
6367,672,4832
6382,662,4832
6407,667,4822
6377,657,4827
6392,615,4850
6367,662,4832
6392,682,4812
6417,640,4822
6397,692,4807
6382,692,4827
6352,692,4837
6430,677,4802
6425,652,4850
6430,657,4860
6392,640,4817
6392,657,4845
6402,667,4832
6377,672,4892
6425,657,4837
6407,615,4807
6372,677,4837
6382,707,4855
6392,682,4855
6362,652,4845
6392,657,4855
6402,635,4837
6387,672,4837
6382,647,4802
6407,667,4827
6372,677,4875
6382,697,4802
6407,667,4870
6357,672,4807
6392,662,4865
6425,640,4860
6372,677,4855
6372,640,4817
6402,667,4845
6402,667,4802
6402,625,4845
6412,667,4837
6435,630,4790
6412,682,4855
6407,677,4860
6387,667,4807
6367,662,4817
6352,677,4875
6382,652,4832
6382,667,4827
6372,657,4790
6402,652,4855
6342,702,4837
6387,657,4802
6367,652,4850
6362,672,4845
6382,657,4827
6387,692,4865
6402,662,4832
6392,662,4822
6402,672,4812
6397,620,4832
6397,662,4795
6412,697,4837
6367,672,4817
6407,672,4780
6387,667,4832
6377,625,4845
6387,667,4860
6397,652,4807
6430,672,4817
6407,652,4880
6397,697,4875
6417,687,4865
6402,672,4807
6412,652,4822
6387,620,4860
6402,662,4822
6367,630,4855
6392,647,4860
6392,692,4832
6417,662,4807
6357,677,4875
6387,697,4802
6372,667,4837
6352,652,4837
6377,677,4780
6352,630,4845
6397,682,4855
6392,667,4845
6377,677,4812
6392,662,4845
6430,667,4850
6397,687,4837
6362,697,4795
6392,672,4817
6377,635,4817
6352,625,4850
6397,667,4845
6407,697,4850
6397,635,4870
6407,647,4817
6342,657,4845
6347,672,4837
6402,657,4865
6402,687,4837
6417,647,4860
6402,692,4802
6397,677,4845
6392,677,4817
6407,620,4860
6377,672,4832
6397,662,4817
6372,630,4822
6392,672,4832
6367,657,4837
6417,667,4850
6407,677,4827
6392,657,4850
6397,702,4860
6407,672,4812
6367,672,4845
6397,657,4855
6402,682,4860
6382,682,4880
6362,657,4837
6397,652,4850
6402,672,4827
6332,657,4832
6367,667,4850
6382,672,4837
6397,677,4855
6430,657,4870
6417,677,4807
6382,677,4880
6412,692,4807
6382,652,4837
6387,707,4807
6402,682,4795
6382,630,4822
6402,682,4822
6382,677,4860
6367,652,4807
6397,677,4790
6397,677,4817
6377,662,4850
6377,692,4795
6425,682,4827
6387,647,4845
6397,640,4827
6377,677,4822
6382,657,4870
6367,635,4837
6367,692,4837
6417,712,4832
6382,620,4832
