Fs,50.00
Initialization time,60
mx,my,mz
6372,935,3117
6192,925,3150
6217,1010,3145
6152,1005,3235
6252,945,3197
6232,980,3117
6252,1015,3117
6252,1025,3095
6267,965,3122
6217,975,3070
6252,960,3127
6192,975,3207
6222,1040,3180
6142,880,3145
6177,980,3180
6202,970,3222
6252,950,3192
6282,970,3180
6312,880,3022
6262,1010,3175
6192,920,3145
6202,935,3085
6192,995,3112
6187,965,3192
6227,910,3132
6107,890,3155
6317,975,3032
6302,1010,3165
6227,900,3080
6367,1127,3095
6247,1005,3212
6177,980,3180
6242,970,3042
6232,950,3160
6092,980,3127
6237,817,3192
6197,1000,3160
6232,925,3175
6232,970,3132
6217,930,3160
6162,900,3197
6092,905,3032
6122,1010,3202
6277,1005,3095
6187,1005,3245
6237,960,3155
6172,990,3122
6222,880,3112
6237,885,3175
6182,995,3117
6157,990,3175
6342,960,3155
6212,965,3132
6207,900,3207
6127,1010,3070
6167,880,3145
6152,925,3145
6302,895,3192
6312,1050,3127
6182,940,3112
6282,1082,3202
6197,1010,3272
6182,910,3102
6167,990,3245
6162,965,3197
6207,950,3095
6232,905,3250
6237,1005,3155
6197,1060,3137
6232,920,3217
6207,865,3160
6117,955,3052
6192,985,3245
6207,915,3065
6192,905,3145
6237,950,3192
6212,1030,3180
6142,990,3217
6277,870,3132
6277,870,3250
6257,945,3095
6162,940,3180
6257,950,3075
6182,940,3095
6207,1050,3107
6162,945,3065
6167,930,3160
6257,1102,3197
6237,870,3180
6237,940,3175
6157,895,3017
6252,975,3095
6172,990,3122
6207,910,3042
6192,975,3207
6177,935,3122
6187,935,3085
6237,875,3175
6277,1005,3052
6197,1045,3090
6212,955,3187
6127,945,3180
6172,890,3122
6207,880,3052
6227,985,3235
6182,970,3235
6342,925,3095
6222,890,3137
6267,935,3187
6127,920,3160
6252,890,3032
6182,852,3197
6287,1020,3155
6072,1015,3217
6222,995,3132
6172,1030,3107
6222,1015,3137
6197,905,3032
6232,950,3165
6172,960,3060
6257,920,3150
6132,1010,3197
6322,1070,3155
6237,1005,3127
6192,1005,3150
6267,980,3180
6162,910,3127
6202,1070,3117
6207,852,3085
6132,930,3132
6207,940,3065
6252,1000,3160
6152,905,3145
6377,950,3150
6317,895,3032
6227,920,3027
6217,990,3202
6197,960,3202
6187,1005,3165
6227,990,3145
6272,970,3047
6222,955,3032
6197,950,3145
6232,965,3235
6157,842,3212
6187,1020,3107
6182,1020,3112
6132,1050,3165
6297,945,3235
6157,1045,3132
6302,857,3070
6237,925,3202
6187,1005,3085
6172,865,3155
6222,870,3207
6222,975,3080
6272,1030,3145
6227,847,3122
6227,975,3155
6312,905,3255
6272,885,3005
6287,847,3145
6242,837,3102
6302,1005,3170
6192,940,3090
6207,895,3255
6192,1055,3070
6272,787,3187
6257,925,3127
6312,990,3075
6237,900,3192
6217,915,3222
6282,1060,3122
6197,940,3095
6247,900,3102
6217,940,3187
6322,940,3175
6187,955,3127
6077,980,3192
6257,985,3127
6262,960,3127
6252,955,3127
6152,965,3170
6252,880,3070
6252,940,3037
6327,1000,3175
6222,930,3192
6242,960,3107
6187,930,3132
6187,812,3107
6302,950,3250
6302,995,3170
6267,930,3175
6302,970,3175
6142,925,3150
6222,990,3222
6187,1000,3170
6312,915,3145
6217,920,3127
6232,885,3047
6197,915,3112
6077,980,3085
6202,920,3160
6197,990,3127
6197,827,3080
6212,925,3192
6117,1000,3145
6232,950,3222
6202,1025,3117
6157,1005,3085
6202,1000,3165
6172,930,3217
6202,925,3075
6342,960,3202
6187,1025,3112
6182,1040,3122
6312,970,3175
6212,965,3150
6122,970,3132
6312,1005,3202
6312,1005,3192
6307,895,3160
6197,920,3122
6232,925,3052
6242,870,3165
6092,920,3170
6377,990,3217
6187,910,3145
6212,960,3132
6177,930,3155
6157,935,3180
6282,925,3170
6207,965,3112
6172,925,3137
6212,1000,3095
6247,880,3277
6212,965,3137
6272,990,3170
6292,995,3090
6182,1010,3240
6292,970,3170
6142,950,3150
6257,985,3145
6152,1000,3132
6162,970,3070
6272,985,3330
6197,925,3222
6317,1005,3042
6287,980,3102
6257,930,3187
6212,1050,3207
6242,915,3187
6302,1112,3080
6327,1015,3292
6277,1005,3150
6207,945,3127
6187,935,3175
6137,1040,3117
6202,1075,3127
6197,915,3107
6157,1015,3245
6262,857,3150
6187,945,3112
6212,895,3112
6252,1065,3180
6092,1000,3217
6237,985,3132
6257,1030,3235
6207,940,3145
6172,812,3175
6182,1030,3107
6327,857,3160
6227,1045,3150
6392,970,3272
6182,1000,3127
6297,960,3102
6207,965,3170
6137,975,3175
6237,900,3080
6212,920,3122
6162,975,3155
6212,1015,3170
6217,965,3292
